date,up_count,down_count,flat_count,limit_up,limit_down,red_ratio,touch_down,zt_fail_count,hb_wave10,median_chg,avg_price,connect_hl,connect_2b,fc_ratio,zt_fail_ratio,zt_prev_ret
2007-06-06,761.0,362.0,54.0,57.0,0.0,67.76491540516474,,,,,,,,,,
2007-06-07,1111.0,67.0,2.0,141.0,1.0,94.31239388794566,,,,,,,,,,
2007-06-08,780.0,324.0,65.0,49.0,0.0,70.65217391304348,,,,,,,,,,
2007-06-11,823.0,325.0,36.0,86.0,0.0,71.68989547038328,,,,,,,,,,
2007-06-12,808.0,348.0,24.0,120.0,1.0,69.8961937716263,,,,,,,,,,
2007-06-13,1006.0,151.0,19.0,128.0,0.0,86.94900605012964,,,,,,,,,,
2007-06-14,329.0,830.0,28.0,21.0,0.0,28.386540120793786,,,,,,,,,,
2007-06-15,465.0,677.0,27.0,45.0,0.0,40.71803852889667,,,,,,,,,,
2007-06-18,1080.0,71.0,25.0,73.0,0.0,93.83145091225022,,,,,,,,,,
2007-06-19,755.0,395.0,39.0,71.0,0.0,65.65217391304347,,,,,,,,,,
2007-06-20,217.0,947.0,19.0,16.0,4.0,18.6426116838488,,,,,,,,,,
2007-06-21,440.0,716.0,25.0,39.0,10.0,38.062283737024224,,,,,,,,,,
2007-06-22,130.0,1051.0,3.0,13.0,234.0,11.00762066045724,,,,,,,,,,
2007-06-25,101.0,1070.0,4.0,9.0,475.0,8.625106746370625,,,,,,,,,,
2007-06-26,761.0,374.0,26.0,53.0,4.0,67.04845814977973,,,,,,,,,,
2007-06-27,995.0,147.0,37.0,50.0,1.0,87.12784588441332,,,,,,,,,,
2007-06-28,87.0,1066.0,3.0,8.0,354.0,7.545533391153512,,,,,,,,,,
2007-06-29,141.0,980.0,18.0,6.0,140.0,12.578055307760929,,,,,,,,,,
2007-07-02,783.0,381.0,16.0,47.0,11.0,67.26804123711341,,,,,,,,,,
2007-07-03,850.0,304.0,45.0,36.0,7.0,73.65684575389947,,,,,,,,,,
2007-07-04,208.0,954.0,31.0,8.0,9.0,17.900172117039588,,,,,,,,,,
2007-07-05,68.0,1111.0,9.0,4.0,299.0,5.767599660729432,,,,,,,,,,
